id_sg_ut,name_sg_ut
',นิ้ว
"""3",ลูกบาศก์นิ้ว
%,อัตราร้อยละ
%O,ต่อ mille
000,เมตรต่อนาที
A/V,ซีเมนส์ต่อเมตร
ACR,เอเคอร์
AU,หน่วยนับกิจกรรม
BAG,ถุง
BT.,ขวด
C3S,ลูกบาศก์เซนติเมตร/วินาที
CAN,กระป๋อง
CCM,ลูกบาศก์เซนติเมตร
CD3,ลูกบาศก์เดซิเมตร
CL,เซนติลิตร
CM,เซนติเมตร
CM2,ตารางเซนติเมตร
CMS,เซนติเมตร/วินาที
CRT,กล่อง
CT,คาร์ตัน
CV,Case
D,วัน
DAY,วัน
DEG,องศา
DM,เดซิเมตร
DR,ถัง
DZ,โหล
EA,ชิ้น
EML,หน่วยเอมไซน์/มิลลิลิตร
EU,หน่วยเอมไซน์
FOZ,ออนซ์หน่วยวัดของเหลว US
FT,ฟุต
FT2,ตารางฟุต
FT3,ลูกบาศก์ฟุต
GA,US แกลลอน
GAI,Gram act. ingrd.
GAU,กรัมทองคำ
GJ,กิกะจูล
GL,gram act.ingrd / liter
GLI,กรัม/ลิตร
GM,กรัมต่อโมล
GM2,กรัม/ตารางเมตร
GM3,กรัมต่อลูกบาศก์เมตร
GOH,กิกะโอห์ม
GPH,แกลลอนต่อชั่วโมง (US)
GPM,แกลลอนต่อไมล์ (US)
GRO,รวม
H,ชั่วโมง
HA,เฮกตาร์
HL,เฮกโตลิตร
HR.,ชั่วโมง
IB,พิโคฟาเรด
JKG,จูล/กิโลกรัม
JKK,ความจุความร้อนเฉพาะ
JMO,จูล/โมล
KAI,Kilogram act. ingrd.
KD3,กิโลกรัมต่อลูกบาศก์เดซิเมตร
KG,กิโลกรัม
KGM,กิโลกรัม/โมล
KGS,กิโลกรัมต่อวินาที
KGV,กิโลกรัมต่อลูกบาศก์เมตร
KIK,kg act.ingrd. / kg
KJK,กิโลจูล/กิโลกรัม
KJM,กิโลจูล/โมล
KM,กิโลเมตร
KM2,ตารางกิโลเมตร
KMH,กิโลเมตรต่อชั่วโมง
KMN,เคลวิน/นาที
KMS,เคลวิน/วินาที
KPA,กิโลปาสคาล
KT,กิโลตัน
KVA,กิโลโวลต์แอมแปร์
L,ลิตร
LB,US ปอนด์
LHK,ลิตรต่อ 100 กิโลเมตร
LMI,ลิตร/นาที
LMS,ลิตร/โมลวินาที
LPH,ลิตรต่อชั่วโมง
M,เมตร
M/L,โมลต่อลิตร
M/M,โมลต่อลูกบาศก์เมตร
M/S,เมตร/วินาที
M2,ตารางเมตร
M-2,1 / ตารางเมตร
M2S,ตารางเมตร/วินาที
M3,ลูกบาศก์เมตร
M3H,ลูกบาศก์เมตร/ชั่วโมง
M3S,ลูกบาศก์เมตร/วินาที
MEJ,เมกะจูล
MG,มิลลิกรัม
MGL,มิลลิกรัม/ลิตร
MGO,เมกะโอมห์
MGQ,มิลลิกรัม/ลูกบาศก์เมตร
MH,เมตร/ชั่วโมง
MHV,เมกะโวลต์
MI,ไมล์
MI2,ตารางไมล์
MIN,นาที
MIS,ไมโครวินาที
ML,มิลลิลิตร
MLI,Milliliter act. ingr.
MM,มิลลิเมตร
MM2,ตารางมิลลิเมตร
MM3,ลูกบาศก์มิลลิเมตร
MN,เมกะนิวตัน
MNM,มิลลินิวตัน/เมตร
MPG,ไมล์ต่อแกลลอน (US)
MPL,มิลิโมลต่อลิตร
MPS,มิลลิปาสคาลวินาที
MS2,เมตร/วินาทีกำลังสอง
MSC,ไมโครซเมนส์ต่อเซนติเมตร
MSE,มิลลิวินาที
MTH,เดือน
MVA,เมกะโวลต์แอมแปร์
MWH,เมกะวัตต์ ชั่วโมง
NA,นาโนแอมแปร์
NAM,นาโนเมตร
NI,กิโลนิวตัน
NM,นิวตัน/เมตร
NMM,นิวตัน/ตารางมิลลิเมตร
NS,นาโนวินาที
OCM,ความต้านทานไฟฟ้าเฉพาะ
OM,ความต้านทานไฟฟ้าเฉพาะ
OZ,ออนซ์
P,จุด
PAA,คู่
PAC,แพค
PAL,แพลเลต
PAS,ปาสคาลวินาที
PCT,สัดส่วนของกลุ่มคิดเป็นร้อยละ
PMI,หนึ่ง/นาที
PPB,อัตราส่วนพันล้าน
PPM,อัตราส่วนล้าน
PPT,อัตราส่วนล้านล้าน
PRS,จำนวนคน
PS,พิโควินาที
PT,"ไพนท์, หน่วยวัดขนาดของเหลว US"
QML,กิโลโมล
QT,"ควอรท, หน่วยวัดขนาดของเหลว US"
RF,มิลลิฟาเรด
RHO,กรัม/ลูกบาศก์เซนติเมตร
ROL,ม้วน
R-U,นาโนฟาเรด
ST,ชิ้น
TO,ตัน
TOM,ตัน/ลูกบาศก์เมตร
TON,US ตัน
TS,หลักพัน
VAL,วัสดุที่คิดมูลค่าเท่านั้น
VAM,โวลต์แอมแปร์
WKS,สัปดาห์
WKY,อัตราการระเหย
WMK,การนำความร้อน
Y,ปี
YD,หลา
YD2,ตารางหลา
YD3,ลูกบาศก์หลา
ตA,ไมโครแอมแปร์
ตF,ไมโครฟาเรด
ตGL,ไมโครกรัม/ลิตร
ตGQ,ไมโครกรัม/ลูกบาศก์เมตร
ตL,ไมโครลิตร
ตM,ไมโครเมตร
Z01,License
Z02,กรง
Z03,กรอบ
Z04,กระถาง
Z05,กระบอก
Z06,กระปุก
Z07,กระสอบ
Z08,กล้อง
Z09,กลุ่ม
Z10,ก้อน
Z11,กิโลตัน
Z12,กุรุส
Z13,แกลลอน
Z14,ขด
Z15,ข้าง
Z16,ครั้ง
Z17,คัน
Z18,คิว
Z19,เครื่อง
Z20,โคม
Z21,งวด
Z22,งาน
Z23,จอ
Z24,ฉบับ
Z25,ชั้น
Z26,ชุด
Z27,ซอง
Z28,ดวง
Z29,ดอก
Z30,ด้าม
Z31,ต้น
Z32,ตลับ
Z33,ตัว
Z34,ตู้
Z35,ถ้วย
Z36,แถว
Z37,ท่อ
Z38,ท่อน
Z39,เที่ยว
Z40,แท่ง
Z41,แท่น
Z42,นัด
Z43,บาน
Z44,ใบ
Z45,ปี๊บ
Z46,ปื้น
Z47,ผืน
Z48,แผง
Z49,แผ่น
Z50,ฝา
Z51,แพ็ค
Z52,แฟ้ม
Z53,ภาพ/รูป
Z54,มัด
Z55,เม็ด
Z56,ระบบ
Z57,รายการ
Z58,รีม
Z59,เรือน
Z60,ล้อ
Z61,ลัง
Z62,ลูก
Z63,เล่ม
Z64,เลา
Z65,วง
Z66,เส้น
Z67,หน่วย
Z68,หลอด
Z69,ลัง
Z70,ห่อ
Z71,หีบ
Z72,องค์
Z73,อัน
ZPR,บุคคล
